                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 2.5919,                 2.3744,                 1.9957,                 0.4444,                0.13297,                0.10624,                0.03837,                 2.7209,                  2.707,                 2.0212,               0.006733,               0.006733,               0.006733
                     35,                 2.4826,                   2.28,                 2.0068,                0.13286,                0.18424,                0.10625,                0.03564,                 2.7138,                 2.8009,                 2.0027,               0.006634,               0.006634,               0.006634
                     36,                 2.4615,                 2.1903,                 2.0098,                0.51155,                0.13001,                0.12068,                0.04267,                 2.6092,                 2.5211,                 1.9359,               0.006535,               0.006535,               0.006535
                     37,                 2.5571,                 2.3412,                 1.9777,                0.19506,                0.18322,                0.12087,                0.04587,                 2.5972,                 2.3496,                  1.924,               0.006436,               0.006436,               0.006436
                     38,                 2.5001,                 2.2261,                 1.9718,                0.14135,                0.18992,                 0.1193,                0.03796,                 2.7752,                 3.0597,                 2.0122,               0.006337,               0.006337,               0.006337
                     39,                 2.5358,                 2.2127,                 1.9579,                0.21556,                0.16605,                0.14009,                0.05253,                 2.5064,                 2.5563,                 1.8477,               0.006238,               0.006238,               0.006238
                     40,                 2.4546,                 2.1653,                 1.9921,                0.44241,                0.20069,                 0.1483,                0.05582,                 2.5252,                 2.4754,                 1.8573,               0.006139,               0.006139,               0.006139
                     41,                 2.4832,                 2.2545,                 1.9537,                0.48092,                 0.1846,                 0.1491,                0.05602,                 2.4656,                 2.0896,                  1.817,                0.00604,                0.00604,                0.00604
                     42,                 2.4957,                 2.1574,                 1.9469,                0.26355,                0.21136,                0.16046,                0.05623,                 2.5409,                 2.0423,                 1.8732,               0.005941,               0.005941,               0.005941
                     43,                 2.3883,                  2.019,                 1.8805,                0.49457,                  0.182,                0.15713,                0.05851,                   2.47,                 2.3214,                 1.8316,               0.005842,               0.005842,               0.005842
                     44,                 2.3798,                  2.058,                 1.8367,                0.46374,                0.17802,                0.13419,                0.04425,                 2.6239,                 3.1804,                 1.8205,               0.005743,               0.005743,               0.005743
                     45,                 2.4322,                 2.1101,                 1.8357,                0.16419,                 0.2346,                0.11716,                0.03941,                 2.6242,                 2.9753,                 1.8061,               0.005644,               0.005644,               0.005644
                     46,                 2.4026,                 2.0804,                 1.8896,                0.27854,                0.19787,                0.14002,                0.05564,                 2.4966,                 2.6321,                 1.7534,               0.005545,               0.005545,               0.005545
                     47,                 2.5012,                    2.2,                 1.8746,                0.26466,                0.15606,                0.13161,                 0.0509,                 2.5963,                 2.2794,                 1.8053,               0.005446,               0.005446,               0.005446
                     48,                 2.4687,                 2.0642,                  1.889,                0.38324,                0.18307,                0.15995,                0.06247,                 2.4607,                 2.0736,                 1.8272,               0.005347,               0.005347,               0.005347
                     49,                 2.3534,                 1.9696,                 1.7732,                0.49325,                0.19589,                0.17091,                0.06814,                 2.3828,                 2.0285,                 1.8148,               0.005248,               0.005248,               0.005248
                     50,                 2.2704,                 1.9117,                 1.8343,                0.48821,                0.20923,                0.18026,                0.06755,                 2.3827,                 1.9762,                 1.7823,               0.005149,               0.005149,               0.005149
                     51,                 2.3526,                 1.9173,                 1.8747,                0.23578,                0.28062,                0.19574,                0.07723,                  2.372,                 1.9316,                 1.7326,                0.00505,                0.00505,                0.00505
                     52,                  2.286,                 1.8549,                 1.8037,                0.32881,                0.28297,                0.19674,                0.07975,                 2.2778,                 2.0065,                 1.7241,               0.004951,               0.004951,               0.004951
                     53,                 2.3755,                 1.9765,                 1.8162,                0.46918,                0.23143,                0.19306,                0.07673,                 2.2909,                 1.8835,                   1.74,               0.004852,               0.004852,               0.004852
                     54,                 2.2854,                 1.8579,                 1.7843,                0.36617,                0.25887,                0.20788,                0.07659,                  2.296,                  1.901,                 1.7709,               0.004753,               0.004753,               0.004753
                     55,                 2.2673,                 1.8992,                 1.7022,                0.50996,                0.21274,                0.18864,                0.07292,                 2.3593,                 1.8774,                  1.739,               0.004654,               0.004654,               0.004654
                     56,                 2.2493,                 1.7994,                 1.6193,                0.30183,                0.25138,                0.19268,                0.07313,                 2.3315,                 1.8744,                 1.7071,               0.004555,               0.004555,               0.004555
                     57,                 2.3137,                 1.8116,                 1.7125,                0.51639,                0.21352,                0.21626,                0.08319,                 2.2821,                  1.842,                 1.7129,               0.004456,               0.004456,               0.004456
                     58,                 2.2825,                 1.8911,                 1.7998,                0.53965,                0.20456,                0.19106,                0.07797,                 2.3434,                 1.9227,                 1.7468,               0.004357,               0.004357,               0.004357
                     59,                 2.2603,                 1.7651,                 1.6386,                0.54227,                0.21096,                0.20932,                0.08455,                 2.2612,                 1.8806,                 1.7146,               0.004258,               0.004258,               0.004258
                     60,                 2.2955,                  1.843,                 1.7445,                0.57597,                 0.2134,                0.22941,                0.09731,                 2.2786,                 1.9281,                 1.6812,               0.004159,               0.004159,               0.004159
                     61,                 2.1783,                 1.7686,                 1.6925,                0.53991,                0.21303,                0.21786,                0.09009,                 2.2897,                 1.8067,                 1.6771,                0.00406,                0.00406,                0.00406
                     62,                 2.2922,                 1.9291,                 1.7565,                0.42006,                   0.27,                0.23226,                0.09658,                 2.2541,                 1.8031,                 1.6568,               0.003961,               0.003961,               0.003961
                     63,                 2.3097,                  1.941,                 1.7795,                0.39424,                0.25655,                0.23189,                0.09936,                  2.221,                  1.876,                  1.635,               0.003862,               0.003862,               0.003862
                     64,                  2.211,                 1.7635,                  1.666,                0.40242,                0.25225,                0.22674,                0.09097,                 2.1811,                 1.8802,                 1.6555,               0.003763,               0.003763,               0.003763
                     65,                 2.2323,                 1.7822,                  1.699,                0.35341,                0.25507,                 0.2286,                0.09798,                 2.2213,                 1.7487,                 1.6503,               0.003664,               0.003664,               0.003664
                     66,                 2.2274,                 1.7661,                 1.6697,                 0.3347,                0.24998,                0.22735,                0.09372,                 2.2195,                 1.7415,                 1.6406,               0.003565,               0.003565,               0.003565
                     67,                 2.1604,                 1.7325,                 1.6425,                0.35959,                0.28343,                0.23656,                0.09748,                 2.1724,                 1.7043,                 1.6142,               0.003466,               0.003466,               0.003466
                     68,                 2.1956,                 1.7791,                 1.6949,                0.37284,                0.27188,                0.21977,                0.09023,                 2.1986,                 2.0403,                 1.6042,               0.003367,               0.003367,               0.003367
                     69,                 2.2292,                 1.7734,                 1.7017,                0.39493,                0.26753,                0.24193,                0.09891,                  2.216,                 1.8676,                 1.6074,               0.003268,               0.003268,               0.003268
                     70,                 2.3254,                  1.867,                 1.7192,                0.38678,                 0.2747,                0.26273,                0.10876,                 2.2189,                 1.7646,                 1.6187,               0.003169,               0.003169,               0.003169
                     71,                 2.1841,                 1.8092,                 1.7309,                0.43858,                0.27437,                0.26568,                0.11226,                 2.1485,                 1.7636,                 1.5944,                0.00307,                0.00307,                0.00307
                     72,                  2.208,                  1.699,                 1.6684,                0.41089,                 0.2953,                0.26913,                0.11713,                 2.1284,                 1.8639,                  1.592,               0.002971,               0.002971,               0.002971
                     73,                 2.1852,                 1.6442,                 1.6498,                0.42131,                0.25934,                0.25155,                0.10474,                 2.1502,                 1.8597,                 1.6002,               0.002872,               0.002872,               0.002872
                     74,                 2.1351,                 1.6969,                 1.6778,                0.47281,                0.28372,                0.26774,                  0.117,                 2.0985,                 1.7127,                 1.5783,               0.002773,               0.002773,               0.002773
                     75,                 2.1608,                 1.7265,                 1.6818,                0.53112,                0.25166,                0.27736,                0.11776,                 2.1225,                 1.6058,                 1.5961,               0.002674,               0.002674,               0.002674
                     76,                 2.0916,                 1.6563,                 1.6784,                0.42671,                0.27629,                0.26577,                0.10655,                 2.1233,                 1.6668,                 1.6191,               0.002575,               0.002575,               0.002575
                     77,                 2.1804,                 1.6651,                 1.6615,                 0.4097,                0.30443,                 0.2694,                0.11026,                 2.1161,                 1.6295,                 1.6122,               0.002476,               0.002476,               0.002476
                     78,                 2.0564,                 1.6006,                 1.5894,                0.40262,                0.30862,                0.27526,                0.11389,                 2.0975,                 1.6278,                 1.6126,               0.002377,               0.002377,               0.002377
                     79,                   2.12,                 1.6448,                 1.6406,                0.36394,                0.30137,                0.29551,                0.12084,                 2.0941,                 1.6036,                 1.6124,               0.002278,               0.002278,               0.002278
                     80,                 2.1164,                 1.6404,                 1.6289,                0.50172,                0.30333,                0.29899,                0.12432,                 2.0923,                 1.5352,                 1.5807,               0.002179,               0.002179,               0.002179
                     81,                 2.0488,                 1.6424,                 1.6011,                0.50723,                0.31438,                0.29631,                0.12296,                 2.0762,                 1.5896,                 1.5915,                0.00208,                0.00208,                0.00208
                     82,                  2.089,                 1.5607,                 1.6551,                0.48023,                0.32427,                0.29862,                0.11925,                 2.0936,                 1.5473,                 1.5886,               0.001981,               0.001981,               0.001981
                     83,                  2.139,                 1.6853,                  1.647,                0.48984,                0.28379,                0.30412,                0.12503,                 2.1554,                 1.6185,                 1.5715,               0.001882,               0.001882,               0.001882
                     84,                 2.1103,                 1.5802,                  1.636,                0.46576,                0.31487,                0.31503,                0.13754,                  2.045,                 1.5235,                 1.5488,               0.001783,               0.001783,               0.001783
                     85,                 2.1042,                 1.6557,                 1.6516,                0.42007,                0.31599,                 0.3103,                0.13853,                 2.0554,                 1.5207,                 1.5435,               0.001684,               0.001684,               0.001684
                     86,                 2.1012,                 1.6256,                  1.593,                0.41978,                0.30993,                0.30411,                0.13773,                 2.0819,                 1.5039,                 1.5587,               0.001585,               0.001585,               0.001585
                     87,                 2.0998,                  1.624,                 1.6367,                0.49797,                0.29408,                0.30651,                0.13585,                 2.0908,                 1.5161,                 1.5726,               0.001486,               0.001486,               0.001486
                     88,                 2.1758,                 1.6437,                 1.6187,                0.45404,                0.28483,                0.29403,                0.12771,                 2.1071,                 1.5594,                 1.5797,               0.001387,               0.001387,               0.001387
                     89,                 2.1105,                 1.6122,                 1.6292,                0.38058,                0.27756,                0.29098,                0.12579,                 2.0783,                 1.6123,                 1.5621,               0.001288,               0.001288,               0.001288
                     90,                 2.0781,                 1.5851,                 1.6042,                0.43348,                0.30819,                0.30473,                0.13247,                 2.0168,                 1.5411,                 1.5486,               0.001189,               0.001189,               0.001189
                     91,                 2.0938,                  1.569,                 1.6151,                0.47184,                0.29748,                0.30198,                 0.1348,                 1.9955,                 1.4609,                  1.545,                0.00109,                0.00109,                0.00109
                     92,                 2.0546,                 1.5822,                 1.5884,                0.48333,                 0.2979,                0.31678,                0.14293,                 1.9882,                 1.4547,                 1.5356,               0.000991,               0.000991,               0.000991
                     93,                 2.0814,                  1.569,                 1.6354,                0.51551,                0.27468,                0.31949,                0.14696,                 2.0298,                 1.5005,                 1.5336,               0.000892,               0.000892,               0.000892
                     94,                 2.0682,                 1.5967,                 1.6262,                0.51988,                0.27461,                0.31691,                0.14542,                 2.0321,                 1.5484,                 1.5239,               0.000793,               0.000793,               0.000793
                     95,                 2.0543,                 1.5612,                 1.5644,                0.47784,                 0.3187,                0.33859,                0.15405,                 2.0092,                 1.5031,                  1.512,               0.000694,               0.000694,               0.000694
                     96,                 2.0446,                 1.5289,                 1.5434,                0.49428,                0.32139,                0.34569,                0.15726,                 1.9774,                 1.4594,                 1.5046,               0.000595,               0.000595,               0.000595
                     97,                 2.1262,                 1.6284,                 1.6173,                0.50601,                0.31928,                0.33745,                0.15674,                 1.9689,                 1.4457,                 1.4999,               0.000496,               0.000496,               0.000496
                     98,                 2.0601,                 1.5793,                 1.6198,                0.54982,                0.31055,                0.34077,                0.15539,                 1.9744,                 1.4407,                 1.4994,               0.000397,               0.000397,               0.000397
                     99,                 2.0213,                 1.5075,                 1.5551,                0.52792,                0.31815,                0.34322,                0.15787,                 1.9749,                 1.4313,                 1.5026,               0.000298,               0.000298,               0.000298
